"Game_Number","Result","Color","Moves"
1,"0-1","White","1. d4 b5 2. c4 Bb7 3. cxb5 g6 4. d5 Bg7 5. e4 c6 6. Bc4 c5 7. Qf3 Nh6 8. d6 exd6 9. Bxh6 O-O 10. Bc1 Re8 11. Qxf7+ Kh8 12. Ne2 Rf8 13. Qxf8+ Qxf8 14. Nd2 Qe8 15. Ng3 d5 16. Bxd5 Bxd5 17. O-O Bf7 18. Re1 c4 19. e5 a6 20. b6 Nc6 21. Nge4 Qxe5 22. a4 Nd4 23. Ra2 c3 24. b7 Rb8 25. Nc4 Bxc4 26. bxc3 Bxa2 27. cxd4 Qxd4 28. Nd2 Bd5 29. Nf3 Bxf3 30. gxf3 Qh4 31. Re4 Qf6 32. Bf4 Rxb7 33. Re8+ Qf8 34. Rxf8+ Bxf8 35. Be5+ Kg8 36. Kg2 d5 37. a5 Re7 38. Bd6 Re6 39. Bxf8 Kxf8 40. f4 d4 41. h4 d3"
2,"1-0","White","1. g3 e6 2. Nf3 Qf6 3. Bh3 e5 4. c3 e4 5. Nd4 c5 6. Nb5 Qc6 7. N1a3 e3 8. Bg2 d5 9. dxe3 c4 10. Bxd5 Qc5 11. Bxc4 Nc6 12. Nc7+ Ke7 13. Nxa8 Ne5 14. b4 Qd6 15. Qxd6+ Kxd6 16. Nb5+ Kd7 17. Bd5 Nf6 18. Bg2 Nc4 19. O-O a6 20. Bh3+ Kd8 21. Rd1+ Bd7 22. Nbc7 Bd6 23. Nd5 Bxh3 24. Ndb6 Ke7 25. Nxc4 Rxa8 26. Nxd6 Rd8 27. Ba3 Rxd6 28. b5 Ne4 29. Rd4 axb5 30. Rxe4+ Kd7 31. Bxd6 Kxd6 32. Rd1+ Kc5 33. Re5+ Kc4 34. Rd4+ Kxc3 35. Rc5+ Kb2 36. Rb4+ Ka3 37. Rbxb5 Ka4 38. Rxb7 h6 39. Rc4+ Ka3 40. Rc6 Bd7 41. Ra6+ Ba4 42. Rb3+ Kxa2 43. Rb4 f5 44. Raxa4#"
3,"1-0","White","1. d4 d5 2. c4 dxc4 3. e4 Nf6 4. Bxc4 Nxe4 5. Qf3 e6 6. Qxe4 f5 7. Qe5 Nc6 8. Bb5 Bb4+ 9. Bd2 Bxd2+ 10. Nxd2 O-O 11. Bxc6 bxc6 12. Ngf3 Qe7 13. a3 a5 14. O-O Ba6 15. Rfe1 a4 16. Rac1 Bb7 17. g3 Rac8 18. Nh4 Rf7 19. Rc5 Rd8 20. Nxf5 exf5 21. Qxe7 Rxe7 22. Rxe7 g6 23. Rxc7 Ba8 24. Re5 Rf8 25. Ree7 c5 26. Rg7+ Kh8 27. Rxh7+ Kg8 28. Rcg7#"
4,"0-1","Black","1. e4 e5 2. Qg4 f5 3. Qxf5 d6 4. Qh5+ g6 5. Qe2 Bd7 6. c4 Na6 7. b3 Nb4 8. Na3 Qg5 9. Kd1 O-O-O 10. Qf3 Bg4 11. d3 Bxf3+ 12. gxf3 Qh4 13. Nh3 Bh6 14. Nc2 a5 15. a3 Nxd3 16. Be3 Ne7 17. Kd2 Nf4 18. Ng1 d5 19. Ke1 d4 20. Bd2 d3 21. Ne3 Nc6 22. Rc1 Nd4 23. Bxa5 Nxb3 24. Rd1 Nxa5 25. Nd5 Nxc4 26. Bxd3 Nxa3 27. Rc1 Nxd3+ 28. Kf1 Nxc1 29. Kg2 Nd3 30. Nh3 Nc4 31. Rd1 Ncb2 32. Rb1 Bd2 33. Ra1 Kb8 34. f4 exf4 35. f3 Ne1+ 36. Kf1 Nxf3 37. Ra2 Nxh2+ 38. Ke2 Qe1#"
5,"0-1","Black","1. e4 d5 2. Nc3 d4 3. Nce2 d3 4. Nc3 dxc2 5. Qxc2 Nc6 6. Be2 Nd4 7. Qd3 e5 8. Nf3 Bc5 9. Nxe5 Qf6 10. Ng4 Bxg4 11. Bxg4 Nc2+ 12. Qxc2 Qxf2+ 13. Kd1 Qxg2 14. Re1 Qxg4+ 15. Ne2 Bd6 16. d3 Nf6 17. Bd2 b6 18. d4 Nxe4 19. Qc6+ Qd7 20. Qxd7+ Kxd7 21. h3 c5 22. dxc5 Rac8 23. cxd6 Nf2#"
6,"0-1","White","1. d4 Nf6 2. c4 Nc6 3. e3 d6 4. d5 Nb4 5. Bd2 Na6 6. c5 Nxc5 7. Bb5+ Bd7 8. a4 c6 9. dxc6 bxc6 10. Bc4 Bg4 11. f3 Be6 12. b3 d5 13. Bb4 dxc4 14. Bxc5 Qxd1+ 15. Kxd1 cxb3 16. Nc3 Rb8 17. Bxa7 Ra8 18. Bd4 Nh5 19. Nge2 Bc4 20. g4 Nf6 21. a5 Nd5 22. Ra4 Nxc3+ 23. Nxc3 Bb5 24. Nxb5 cxb5 25. Rb4 Rxa5 26. Rxb3 e5 27. Bc3 Bb4 28. Bxb4 Ra1+ 29. Kc2 Rxh1 30. Ra3 Kd7 31. Rd3+ Kc6 32. Rd6+ Kb7 33. Rd7+ Kc8 34. Rxf7 Rxh2+ 35. Bd2 Kd8 36. Rb7 Kc8 37. Rxb5 Rd8 38. Rc5+ Kb7 39. Kb3 Rhxd2 40. Kb4 Kb6 41. Rb5+ Kc7 42. Rxe5 Rb8+ 43. Kc4 Kd6 44. Rb5 Rc8+ 45. Kb4 Rb2+ 46. Ka5 Rxb5+ 47. Kxb5 Rc5+ 48. Kb6 Rc3 49. f4 Rxe3 50. f5 Rg3 51. g5 Rxg5 52. f6 gxf6"
7,"1-0","White","1. d4 d5 2. c4 dxc4 3. e3 Nf6 4. Bxc4 e6 5. Nc3 c6 6. Qf3 Bb4 7. Nh3 O-O 8. a3 Bxc3+ 9. bxc3 Nbd7 10. a4 a6 11. Ba3 Re8 12. Bd6 Nb6 13. Bd3 Qxd6 14. Ng5 g6 15. e4 e5 16. a5 Nbd7 17. Ra4 b5 18. dxe5 Qxe5 19. Rd4 Qc5 20. O-O Qxc3 21. Qe3 Qxa5 22. Bc2 c5 23. Qb3 Re7 24. Rd6 c4 25. Qf3 Kg7 26. e5 Rxe5 27. Qxa8 Qc7 28. Rc6 Qb7 29. Qxc8 Qxc8 30. Rxc8 Rxg5 31. Ra8 b4 32. Ba4 Ne5 33. Bd1 b3 34. f4 Rf5 35. fxe5 Rxf1+ 36. Kxf1 Ng4 37. Bxg4 c3 38. Bd1 c2 39. Bxc2 bxc2 40. Rc8 g5 41. Rxc2 f5 42. e6 Kf8 43. Rc7 Ke8 44. Rxh7 g4 45. h4 a5 46. h5 a4 47. h6 a3 48. Ra7 Kf8 49. h7 a2 50. h8=Q#"
8,"0-1","Black","1. e4 d5 2. Qf3 e6 3. c3 Qf6 4. a3 Nc6 5. exd5 Ne5 6. Qe4 Bc5 7. d4 Bb6 8. Be3 Nc4 9. Nd2 Nxb2 10. Bb5+ c6 11. dxc6 Bd7 12. cxd7+ Ke7 13. Qxb7 Rd8 14. Ne4 Qf5 15. f3 Qxb5 16. Ng3 Nd3+ 17. Kd2 Qb2+ 18. Kxd3 Qxa1 19. N1e2 Qxa3 20. d5 Qd6 21. Bxb6 axb6 22. c4 Nh6 23. Rb1 Rxd7 24. Rxb6 Rxb7 25. Rxd6 Kxd6 26. Ne4+ Ke7 27. d6+ Kd7 28. c5 Kc6 29. Nd4+ Kd5 30. c6 Ra7 31. c7 Nf5 32. Nb5 Rb7 33. Nbc3+ Kc6 34. g4 Nxd6 35. Nxd6 Kxd6 36. c8=Q Rxc8 37. g5 Rb3 38. Kd2 Rcxc3 39. f4 Rh3 40. Kc2 Ra3 41. Kb2 Raf3 42. Kc1 Rxh2 43. Kd1 Rf1#"
9,"0-1","Black","1. d4 d5 2. e3 c6 3. c4 e6 4. a3 Nd7 5. cxd5 Qa5+ 6. Bd2 Qxd5 7. Nc3 Qg5 8. e4 Qf6 9. Qb3 b5 10. e5 Qf5 11. Bd3 Qxd3 12. h4 Qxd4 13. O-O-O Nc5 14. Qc2 Nd3+ 15. Kb1 Nxf2 16. Nf3 Qg4 17. Be3 Nxh1 18. Rxh1 a5 19. Nd1 Bd7 20. Nh2 Qxh4 21. Bb6 Ne7 22. Qd2 Qe4+ 23. Ka1 Nd5 24. Bxa5 Be7 25. Re1 Qa4 26. Bc3 Bxa3 27. bxa3 Qxa3+ 28. Kb1 Nxc3+ 29. Nxc3 Qa1+ 30. Kc2 Ra2+ 31. Kd3 Rxd2+ 32. Kxd2 Qb2+ 33. Kd3 Qxg2 34. Re2 Qg6+ 35. Re4 O-O 36. Kd4 b4 37. Rg4 Qc2 38. Na4 c5+ 39. Nxc5 Qxh2 40. Nxd7 Rd8 41. Ke3 Rxd7 42. Rxb4 Qd2+ 43. Kf3 Rd3+ 44. Kg4 Qxb4+ 45. Kg5 Qe7+ 46. Kf4 g5+ 47. Ke4 g4 48. Kxd3 g3 49. Ke2 g2 50. Kf3 g1=Q 51. Ke4 Qh4+"
10,"1-0","White","1. d4 Na6 2. c3 b5 3. e4 c6 4. Qf3 f6 5. e5 e6 6. exf6 Qxf6 7. Ne2 b4 8. Bd2 d5 9. Nf4 Bd6 10. Bd3 Ne7 11. Nh5 Kd7 12. Nxf6+ gxf6 13. Qxf6 Rg8 14. g3 Nc7 15. Bxh7 Rg4 16. O-O Ba6 17. Re1 Re4 18. Bxe4 dxe4 19. Rxe4 Bc4 20. cxb4 Ng8 21. Qf7+ Be7 22. Na3 Rf8 23. Qg6 Nf6 24. Re5 a6 25. Nxc4 Bd6 26. Nb6+ Kd8 27. Rd1 Nd7 28. Bg5+ Be7 29. Rxe6 Nxe6 30. Qxe6 Kc7 31. Qxd7+ Kxb6 32. Bxe7 Rf7 33. a4 Rxe7 34. Qxe7 a5 35. Qc5+ Kb7 36. bxa5 Ka8 37. Qxc6+ Kb8 38. a6 Ka7 39. Qb7#"
